event_id,scope,bu,brand,channel,start_month,duration_type,cause_types
E0000,brand_channel,Beverages,AquaPure,social,2025-09-01,sudden,creative_refresh
E0001,brand_channel,Beverages,AquaPure,tv,2025-01-01,sudden,measurement_artifact|creative_refresh
E0002,brand_channel,Beverages,AquaPure,tv,2024-06-01,gradual,measurement_artifact
E0003,brand_channel,Beverages,AquaPure,audio,2022-06-01,gradual,spend_reduction_artifact
E0004,brand_channel,Beverages,AquaPure,audio,2025-01-01,sudden,genuine_efficiency_gain
E0005,brand_channel,Beverages,AquaPure,display,2023-02-01,sudden,survivorship_bias|creative_refresh|genuine_efficiency_gain
E0006,brand_channel,Beverages,CitrusBoost,paid_search,2025-03-01,gradual,genuine_efficiency_gain
E0007,brand_channel,Beverages,CitrusBoost,paid_search,2022-06-01,sudden,genuine_efficiency_gain|measurement_artifact|spend_reduction_artifact
E0008,brand_channel,Beverages,CitrusBoost,social,2023-11-01,sudden,genuine_efficiency_gain|spend_reduction_artifact|creative_refresh
E0009,brand_channel,Beverages,CitrusBoost,tv,2023-06-01,sudden,creative_refresh
E0010,brand_channel,Beverages,CitrusBoost,digital_video,2023-12-01,sudden,measurement_artifact|survivorship_bias
E0011,brand_channel,Beverages,BrewCo,social,2025-05-01,gradual,creative_refresh|spend_reduction_artifact|measurement_artifact
E0012,brand_channel,Beverages,BrewCo,social,2023-07-01,sudden,spend_reduction_artifact|genuine_efficiency_gain
E0013,brand_channel,Beverages,BrewCo,digital_video,2025-03-01,sudden,spend_reduction_artifact|genuine_efficiency_gain
E0014,brand_channel,Beverages,BrewCo,tv,2023-11-01,gradual,survivorship_bias
E0015,brand_channel,Beverages,BrewCo,tv,2024-12-01,gradual,spend_reduction_artifact
E0016,brand_channel,Snacks,CrispBite,social,2024-01-01,sudden,measurement_artifact|survivorship_bias
E0017,brand_channel,Snacks,CrispBite,social,2024-11-01,gradual,measurement_artifact
E0018,brand_channel,Snacks,CrispBite,display,2025-10-01,sudden,creative_refresh|genuine_efficiency_gain|spend_reduction_artifact
E0019,brand_channel,Snacks,CrispBite,display,2023-01-01,sudden,spend_reduction_artifact|creative_refresh|survivorship_bias
E0020,brand_channel,Snacks,CrispBite,digital_video,2022-04-01,sudden,survivorship_bias|creative_refresh
E0021,brand_channel,Snacks,CrispBite,digital_video,2025-03-01,gradual,genuine_efficiency_gain|creative_refresh|spend_reduction_artifact
E0022,brand_channel,Snacks,NutHouse,display,2023-11-01,gradual,spend_reduction_artifact
E0023,brand_channel,Snacks,NutHouse,digital_video,2024-01-01,sudden,creative_refresh
E0024,brand_channel,Snacks,NutHouse,digital_video,2025-07-01,gradual,measurement_artifact
E0025,brand_channel,Snacks,NutHouse,tv,2023-03-01,sudden,creative_refresh|survivorship_bias
E0026,brand_channel,Snacks,NutHouse,tv,2023-08-01,sudden,survivorship_bias|genuine_efficiency_gain|spend_reduction_artifact
E0027,brand_channel,Snacks,NutHouse,audio,2025-06-01,gradual,spend_reduction_artifact
E0028,brand_channel,Snacks,GrainSnax,paid_search,2024-09-01,sudden,spend_reduction_artifact|survivorship_bias|creative_refresh
E0029,brand_channel,Snacks,GrainSnax,social,2023-12-01,sudden,spend_reduction_artifact|genuine_efficiency_gain
E0030,brand_channel,Snacks,GrainSnax,display,2024-08-01,sudden,survivorship_bias|spend_reduction_artifact
E0031,brand_channel,Snacks,GrainSnax,tv,2025-04-01,sudden,measurement_artifact|creative_refresh
E0032,brand_channel,HomeCare,CleanWave,digital_video,2022-12-01,gradual,genuine_efficiency_gain
E0033,brand_channel,HomeCare,GlowSkin,audio,2024-05-01,gradual,genuine_efficiency_gain|spend_reduction_artifact|survivorship_bias
E0034,brand_channel,HomeCare,GlowSkin,tv,2025-04-01,gradual,spend_reduction_artifact
E0035,brand,HomeCare,CleanWave,digital_video+social,2023-10-01,sudden,mix_shift_artifact
E0036,bu,Snacks,ALL,ALL,2024-10-01,gradual,external_demand_spike
